Nb_sac, Nb_obj, Algorithme, Temps (s), VALEUR_TOTAL
45, 800, BSO, 3.7565198, 301139
45, 800, GA, 2.3811744, 1227933
47, 800, BSO, 0.2647764, 348264
47, 800, GA, 2.4614828, 1207510
49, 800, BSO, 0.2303291, 299365
49, 800, GA, 2.6332551, 1194018
1, 900, BSO, 0.1872282, 330381
1, 900, GA, 0.1074576, 693340
3, 900, BSO, 0.2268825, 330200
3, 900, GA, 0.2701918, 1191950
5, 900, BSO, 0.2211948, 315799
5, 900, GA, 0.3728114, 1287551
7, 900, BSO, 0.2391804, 309933
7, 900, GA, 0.4695934, 1337057
9, 900, BSO, 0.3714481, 332510
9, 900, GA, 0.6133356, 1352127
11, 900, BSO, 0.3549224, 321941
11, 900, GA, 0.6969683, 1351095
13, 900, BSO, 0.41984, 327067
13, 900, GA, 0.8660517, 1350527
15, 900, BSO, 0.8000569, 321848
15, 900, GA, 0.9214265, 1394632
17, 900, BSO, 0.5170066, 332411
17, 900, GA, 1.0362124, 1356098
19, 900, BSO, 0.5933768, 298804
19, 900, GA, 1.1590955, 1361622
21, 900, BSO, 0.6621323, 331921
21, 900, GA, 1.260817, 1398808
23, 900, BSO, 1.3865933, 349479
23, 900, GA, 1.4893877, 1402261
25, 900, BSO, 0.9112442, 322821
25, 900, GA, 1.6156406, 1382753
27, 900, BSO, 1.0837381, 350833
27, 900, GA, 1.6014483, 1394475
29, 900, BSO, 1.9095565, 332021
29, 900, GA, 1.6232426, 1361915
31, 900, BSO, 2.1024552, 335764
31, 900, GA, 1.7345568, 1337019
33, 900, BSO, 2.3254348, 319552
33, 900, GA, 1.8369784, 1382902
35, 900, BSO, 0.2162881, 323965
35, 900, GA, 1.9366212, 1301797
37, 900, BSO, 2.8182444, 324778
37, 900, GA, 2.0458726, 1345391
39, 900, BSO, 0.2297444, 302691
39, 900, GA, 2.4193965, 1329743
41, 900, BSO, 2.3574618, 331165
41, 900, GA, 2.4229435, 1346843
43, 900, BSO, 4.9782954, 312272
43, 900, GA, 2.5470644, 1315233
45, 900, BSO, 2.2703869, 348649
45, 900, GA, 2.8651067, 1374536
47, 900, BSO, 2.6951856, 332190
47, 900, GA, 3.0129326, 1384441
49, 900, BSO, 2.7436411, 326041
49, 900, GA, 3.0824762, 1360811
